freq_hz,s21_db_median,s21_db_hdi_low,s21_db_hdi_high,gd_ns_median,gd_ns_hdi_low,gd_ns_hdi_high
2259646827.9921517,-6.813855040233279,-6.97353305990325,-6.652714275437408,1.2049087188987238,1.0194599671439197,1.4204794741072697
2261608894.70242,-6.685114593345202,-6.8521458541694145,-6.5403822497565764,1.249112907387513,1.033613594492483,1.4383376499130294
2263570961.4126883,-6.541053287957614,-6.704478873795125,-6.3904020659042065,1.2787071293721248,1.048038292952163,1.452903571199131
2265533028.1229563,-6.403446859275461,-6.552499351556066,-6.254598738707654,1.3042101543666949,1.119758535570694,1.4964531147558946
2267495094.8332243,-6.2755565887621145,-6.41858545622867,-6.12014055458946,1.3224199148637774,1.1065581490252678,1.4967043939148477
2269457161.5434923,-6.173171634526513,-6.328139792780082,-6.015902112325585,1.3195045146069366,1.1571805132327075,1.519034984688768
2271419228.2537603,-6.064126769755589,-6.199727604825273,-5.92242076708491,1.3198768442812643,1.1341239824048477,1.5026426503621269
2273381294.964029,-5.957677787472286,-6.082834531125806,-5.806524812754597,1.2953793709499224,1.0696796018417023,1.456398163670466
2275343361.674297,-5.833820709355686,-5.978817012339748,-5.6840471730764355,1.3045178893860203,1.1164260084481517,1.486799483649196
2277305428.3845654,-5.762713430334166,-5.878757784815637,-5.599873841788861,1.284063620604626,1.0936496263623103,1.4609846966654763
2279267495.0948334,-5.663815704644497,-5.809876876629029,-5.530198234222425,1.2701555648615743,1.0748621844217006,1.4457301242037839
2281229561.8051014,-5.545569318035441,-5.692664932558626,-5.416421534409749,1.2395847931578141,1.053733058873458,1.4073082077715953
2283191628.5153694,-5.462165815333432,-5.606323211454274,-5.340037803761474,1.1799481541301589,1.0131195891144391,1.3519895775361572
2285153695.2256374,-5.364507795928344,-5.491888586450438,-5.242454618842169,1.1147455887954152,0.9365998747160603,1.2746730689436303
2287115761.935906,-5.280274094592287,-5.3935234976334705,-5.123562900101682,1.0216349029720548,0.8413542324916821,1.180143079474792
2289077828.646174,-5.164657466390418,-5.274550944161639,-5.0254123127829065,0.9673421831411257,0.7730841536477386,1.1369740243629138
2291039895.3564425,-5.076862808798773,-5.211890417125344,-4.970152495200296,0.9501247475964951,0.7871972275034189,1.1557079879148562
