time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
3.467340087890625e-07,97.88434811834216,-139.8588881744583,170.70985386892116,2.1303556885313943e-06,2.5378769038655106e-06,3.3134928004798893e-06
3.46827392578125e-07,118.82999052309115,-24.264955580304633,121.28212859705296,2.1414524833007016e-06,2.535610950371989e-06,3.3189066919515953e-06
3.469207763671875e-07,103.8051175351242,31.241654430920416,108.40453587402143,2.15114619850021e-06,2.538528414439329e-06,3.327394848562124e-06
3.4701416015625e-07,67.9002356211523,106.35932663505832,126.18537300206798,2.1574869797807496e-06,2.548460651362647e-06,3.339071990758388e-06
3.471075439453125e-07,-45.35020092890933,121.54588118969201,129.7306515765306,2.1532520061832627e-06,2.559811066293081e-06,3.345015231243165e-06
3.47200927734375e-07,-103.2629495656445,35.128903070087006,109.0746376748711,2.143608920683053e-06,2.563091536367375e-06,3.3413316849169634e-06
3.472943115234375e-07,-88.89034273759633,-24.796054525429035,92.28400377115958,2.135308003667152e-06,2.56077598684199e-06,3.33423363388224e-06
3.473876953125e-07,-73.45601069246165,-90.11227070368284,116.25836244427691,2.1284484030592743e-06,2.552360961562655e-06,3.3233776617463465e-06
3.474810791015625e-07,47.13721355992194,-143.03150368400694,150.59856555857954,2.132850254667348e-06,2.539004137793335e-06,3.3159602260229614e-06
3.47574462890625e-07,156.75095934313762,-1.5357817131775928,156.75848264277286,2.1474882531899923e-06,2.5388607206777858e-06,3.325284883523445e-06
3.476678466796875e-07,16.597210397403103,126.90063125317322,127.9813955441552,2.1490381635847692e-06,2.5507111824586303e-06,3.3353399474211476e-06
3.4776123046875e-07,-90.38833370773402,-9.067991743919718,90.84205713615518,2.1405973584960956e-06,2.5498643790303958e-06,3.329258987019263e-06
3.4785461425781247e-07,46.99830394451148,-74.36636185340907,87.97270229436435,2.144986238197945e-06,2.5429197663817317e-06,3.3267712425583897e-06
3.47947998046875e-07,77.8771135365492,58.329628079555334,97.29948779250498,2.1522586981412385e-06,2.548366808066407e-06,3.3356245130678577e-06
3.4804138183593747e-07,-18.126733213010873,77.83097360674866,79.91394690259065,2.1505659551104824e-06,2.5556349592882284e-06,3.340090413808645e-06
3.48134765625e-07,-41.342505641418754,71.23348656839835,82.36147389041146,2.1467052352843487e-06,2.5622870121721183e-06,3.3427022152658395e-06
3.4822814941406247e-07,-169.7224545088023,55.849076097902085,178.675210551105,2.130855909393329e-06,2.5675024105137806e-06,3.3365574376279725e-06
3.48321533203125e-07,-195.99542329651436,-209.70558485439514,287.03769486306805,2.1125531141269917e-06,2.5479193084125092e-06,3.3097996105790047e-06
3.484149169921875e-07,149.28380748135012,-304.68598074756324,339.2922074558054,2.126493801715277e-06,2.5194665770560778e-06,3.2969209456151905e-06
